'article_id1', 'article_id2', 'similarity'
11000110, 11000280, 0.98828125
11000110, 11000310, 0.98828125
11000110, 11000480, 0.984375
11000110, 11000510, 0.98828125
11000110, 11000610, 0.98046875
11000110, 11000710, 0.984375
11000110, 11000810, 0.98828125
11000110, 11000910, 0.984375
11000110, 11001010, 0.9765625
11000110, 11001110, 0.984375
11000110, 11001210, 0.9765625
11000110, 11001310, 0.97265625
11000110, 11001410, 0.984375
11000110, 11001580, 0.98046875
11000110, 11001610, 0.98046875
11000110, 11001780, 0.98046875
11000110, 11001810, 0.9765625
11000110, 11001910, 0.96875
11000110, 11002010, 0.9765625
11000110, 11002110, 0.984375
11000110, 11002210, 0.98046875
11000110, 11002310, 0.984375
11000110, 11002410, 0.98046875
11000110, 11002510, 0.9765625
11000110, 11002610, 0.98046875
11000110, 11002710, 0.9765625
11000110, 11002810, 0.9765625
11000110, 11002910, 0.984375
11000110, 11003010, 0.984375
11000110, 11003110, 0.984375
11000110, 11003210, 0.984375
11000110, 11003310, 0.984375
11000110, 11003410, 0.9765625
11000110, 11003510, 0.9765625
11000110, 11003610, 0.98046875
11000110, 11003780, 0.98828125
11000110, 11003810, 0.984375
11000110, 11003910, 0.9765625
11000110, 11004010, 0.96875
11000110, 11004110, 0.9765625
11000110, 11004280, 0.98046875
11000110, 11004310, 0.9765625
11000110, 11004410, 0.9765625
11000110, 11004510, 0.9765625
11000110, 11004610, 0.9765625
11000110, 11004710, 0.9765625
11000110, 11004810, 0.9765625
11000110, 11004910, 0.9765625
11000110, 11005010, 0.9765625
11000110, 11005110, 0.984375
11000110, 11005210, 0.984375
11000110, 11005310, 0.984375
11000110, 11005410, 0.98046875
11000110, 11005510, 0.98046875
11000110, 11005610, 0.984375
11000110, 11005710, 0.98046875
11000110, 11005810, 0.98046875
11000110, 11005910, 0.98046875
11000110, 11006010, 0.9765625
11000110, 11006110, 0.9765625
11000110, 11006210, 0.98046875
11000110, 11006310, 0.984375
11000110, 11006410, 0.98046875
11000110, 11006510, 0.98046875
11000110, 11006610, 0.98046875
11000110, 11006780, 0.98828125
11000110, 11006780, 0.98828125
11000110, 11006810, 0.984375
11000110, 11006910, 0.984375
11000110, 11007010, 0.9765625
11000110, 11007010, 0.984375
11000110, 11007110, 0.9765625
11000110, 11007110, 0.9765625
11000110, 11007280, 0.98828125
11000110, 11007280, 0.98828125
11000110, 11007310, 0.984375
11000110, 11007310, 0.984375
11000110, 11007410, 0.98046875
11000110, 11007510, 0.98046875
11000110, 11007510, 0.96875
11000110, 11007510, 0.9765625
11000110, 11007610, 0.984375
11000110, 11007610, 0.984375
11000110, 11007710, 0.98046875
11000110, 11007710, 0.98046875
11000110, 11007810, 0.9765625
11000110, 11007910, 0.98046875
11000110, 11007910, 0.984375
11000110, 11008050, 0.984375
11000110, 11008050, 0.984375
11000110, 11008110, 0.984375
11000110, 11008110, 0.984375
11000110, 11008110, 0.984375
11000110, 11008110, 0.984375
11000110, 11008110, 0.984375
11000110, 11008250, 0.98046875
11000110, 11008250, 0.98046875
11000110, 11008350, 0.98046875
11000110, 11008350, 0.98046875
11000110, 11008410, 0.9765625
11000110, 11008510, 0.9765625
11000110, 11008510, 0.984375
11000110, 11008610, 0.984375
11000110, 11008710, 0.984375
11000110, 11008710, 0.98046875
11000110, 11008810, 0.984375
11000110, 11008810, 0.984375
11000110, 11008910, 0.98046875
11000110, 11009010, 0.984375
11000110, 11009010, 0.984375
11000110, 11009110, 0.98046875
11000110, 11009210, 0.96875
11000110, 11009310, 0.9765625
11000110, 11009410, 0.9765625
11000110, 11009410, 0.9765625
11000110, 11009510, 0.984375
11000110, 11009510, 0.984375
11000110, 11009610, 0.984375
11000110, 11009710, 0.98828125
11000110, 11009810, 0.9765625
11000110, 11009810, 0.984375
11000110, 11009910, 0.98046875
11000110, 11010010, 0.984375
11000110, 11010010, 0.98828125
11000110, 11010110, 0.984375
11000110, 11010280, 0.9921875
11000110, 11010310, 0.97265625
11000110, 11010410, 0.9765625
11000110, 11010410, 0.9765625
11000110, 11010580, 0.98046875
11000110, 11010580, 0.98828125
11000110, 11010610, 0.9765625
11000110, 11010610, 0.9765625
11000110, 11010780, 0.9765625
11000110, 11010810, 0.9765625
11000110, 11010980, 0.98828125
11000110, 11010980, 0.98828125
11000110, 11011010, 0.984375
11000110, 11011010, 0.984375
11000110, 11011110, 0.9765625
11000110, 11011110, 0.9765625
11000110, 11011210, 0.97265625
11000110, 11011310, 0.98046875
11000110, 11011310, 0.98046875
11000110, 11011410, 0.98046875
11000110, 11011510, 0.984375
11000110, 11011610, 0.9765625
11000110, 11011710, 0.984375
11000110, 11011820, 0.99609375
11000110, 11100030, 0.98828125
11000110, 11100030, 0.98828125
11000110, 11100030, 0.98828125
11000110, 11100110, 0.9765625
11000110, 11100210, 0.98046875
11000110, 11100210, 0.98046875
11000110, 11100380, 0.98828125
11000110, 11100380, 0.98046875
11000110, 11100480, 0.984375
11000110, 11100580, 0.99609375
11000110, 11100580, 0.98828125
11000110, 11100681, 0.984375
11000110, 11100681, 0.984375
11000110, 11100710, 0.98828125
11000110, 11100830, 0.984375
11000110, 11100930, 0.984375
11000110, 11100930, 0.984375
11000110, 11100930, 0.984375
11000110, 11101081, 0.99609375
11000110, 11101130, 0.99609375
11000110, 11101280, 0.984375
11000110, 11101320, 0.98828125
11000110, 11101320, 0.98828125
11000110, 11101430, 0.98046875
11000110, 11101430, 0.98046875
11000110, 11101620, 0.99609375
11000110, 11101730, 0.99609375
11000110, 11101730, 0.98828125
11000110, 11101810, 0.9921875
11000110, 11101910, 0.9765625
11000110, 11101910, 0.9765625
11000110, 11101910, 0.9765625
11000110, 11101910, 0.9765625
11000110, 11101930, 0.984375
11000110, 11102080, 0.984375
11000110, 11102280, 0.99609375
11000110, 11102310, 0.9765625
11000110, 11102310, 0.9765625
11000110, 11102380, 0.98046875
11000110, 11102380, 0.98046875
11000110, 11102380, 0.98046875
11000110, 11102380, 0.98046875
11000110, 11102480, 0.98046875
11000110, 11102510, 0.9921875
11000110, 11102515, 0.99609375
11000110, 11102515, 0.99609375
11000110, 11102610, 0.9765625
11000110, 11102710, 0.98046875
11000110, 11102710, 0.98046875
11000110, 11102710, 0.98046875
11000110, 11102710, 0.98046875
11000110, 11102710, 0.98046875
11000110, 11102710, 0.98046875
11000110, 11102910, 0.9921875
11000110, 11102910, 0.9921875
11000110, 11103030, 0.99609375
11000110, 11103180, 0.98046875
11000110, 11103180, 0.98046875
11000110, 11103210, 0.98046875
11000110, 11103210, 0.97265625
11000110, 11103210, 0.98046875
11000110, 11103210, 0.98046875
11000110, 11103210, 0.98046875
